Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration(minutes),Total_Stops,Additional_Info,Price
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 22 Mar,170,0,No info,3897
Air India,1/05/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,445,2,No info,7662
Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,1140,2,No info,13882
IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,325,1,No info,6218
IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,285,1,No info,13302
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,145,0,No info,3873
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,930,1,In-flight meal not included,11087
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,1265,1,No info,22270
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,1530,1,In-flight meal not included,11087
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,470,1,No info,8625
Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,795,1,No info,8907
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,155,0,No info,4174
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,135,0,No info,4667
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,730,1,In-flight meal not included,9663
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,155,0,No info,4804
Air India,3/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,1595,2,No info,14011
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,270,1,No info,5830
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,1355,1,In-flight meal not included,10262
Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,1380,2,No info,13381
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,1235,1,In-flight meal not included,12898
GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,310,1,No info,19495
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,920,1,No info,6955
IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,170,0,No info,3943
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,175,0,No info,4823
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,800,1,In-flight meal not included,7757
Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,910,2,No info,13292
IndiGo,1/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,345,1,No info,8238
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,355,1,No info,7682
Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,170,0,No info,4668
Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,135,0,No info,3687
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,135,0,No info,3687
